"YEAR","CONF","TEAM","SEED","ROUND","KADJ.T","KADJ.O","KADJ.D","BADJ.EM","BADJ.O","BADJ.D","GAMES","W","L","WIN.","EFG.","EFG.D","FTR","FTRD","TOV.","TOV.D","OREB.","DREB.","OP.OREB.","OP.DREB.","RAW.T","X2PT.","X2PT.D","X3PT.","X3PT.D","BLK.","BLKED.","AST.","OP.AST.","X2PTR","X3PTR","X2PTRD","X3PTRD","BADJ.T","AVG.HGT","EFF.HGT","EXP","TALENT","FT.","OP.FT.","PPPO","PPPD"
2025,"Horz","Robert Morris",15,0,67.8393,107.033,104.951,0.876,105.898,105.022,33,25,8,75.75758,51.3,50.3,38.4,30,18.5,18.8,35.3,71.7,28.3,64.7,68.7,50.7,49.8,34.9,34.2,11.9,9.4,60.7,51.4,63.2,36.8,64.4,35.6,67.899,76.665,79.54,1.898,0.2,72,72.6,1.098,1.016
2025,"NEC","Saint Francis",16,0,66.9974,99.7234,112.484,-12.109,99.855,111.964,30,13,17,43.33333,51.6,51.3,23.8,28.7,19.6,16.4,25.4,70,30,74.6,66.6,52.6,53.4,33.4,32.3,6.7,9.3,50.3,51,58.1,41.9,56.8,43.2,67.172,76.305,78.644,1.173,0.2,72.5,74.5,1.001,1.081
2025,"WCC","Saint Mary's",7,0,61.7537,115.324,92.2318,22.181,114.965,92.784,32,27,5,84.375,50.9,46.2,31.4,25,15.1,16.6,40.5,75.1,24.9,59.5,63.5,51.8,45.8,32.6,31.2,10.4,7.2,57.1,54.1,66.6,33.4,68.7,31.3,61.767,78.408,81.447,1.982,48.461,69.5,74.7,1.147,0.96
2025,"MWC","San Diego St.",11,0,66.1184,109.848,93.5742,14.55,108.888,94.338,29,20,9,68.96552,50.6,45.3,32.1,37.2,16.8,19.7,29.4,69.1,30.9,70.6,66.1,51.6,45,32.8,30.4,18.6,8.7,50.9,50.1,60.6,39.4,52.7,47.3,65.794,78.127,81.937,1.611,41.617,66.7,70,1.048,0.962
2025,"OVC","SIU Edwardsville",16,0,65.8961,101.933,106.247,-4.419,101.289,105.708,30,19,11,63.33333,48.9,47.5,33.1,33.2,17.1,17.3,31.8,70.9,29.1,68.2,67.2,47.8,46.3,34,33,11.5,8,51.4,48.7,63.7,36.3,61.4,38.6,65.8,77.165,80.792,2.225,7.282,67.9,70.3,1.043,1.004
2025,"BE","St. John's",2,0,70.1918,113.938,87.5628,23.469,112.558,89.089,34,30,4,88.23529,49.7,46.6,30.2,30.4,15.6,21.9,37.3,71.1,28.9,62.7,70.4,51.5,45.8,30.4,31.8,15.1,8.3,53.7,55.9,69.7,30.3,59.2,40.8,70.097,78.209,80.533,2.12,64.078,68.9,67,1.102,0.922
2025,"SEC","Tennessee",2,0,63.6241,119.981,88.5426,28.203,119.285,91.082,34,27,7,79.41176,52.8,44.4,35.4,29.4,16,17.8,35.4,69.9,30.1,64.6,65.5,54.1,46.7,34,27.8,16.1,9.1,60.2,46.5,57,43,54.9,45.1,63.823,77.149,81.352,2.65,51.743,74.3,74,1.142,0.963
2025,"SEC","Texas",11,0,67.4356,116.755,99.6019,16.502,116.676,100.174,34,19,15,55.88235,52.5,48.4,36.6,39.3,14.3,16.6,29.8,70.3,29.7,70.2,68.4,51.8,47.5,36,33.3,11.7,8.2,47.5,48.3,64.6,35.4,63.8,36.2,67.283,78.026,80.717,2.185,60.878,74.9,70.1,1.13,1.04
2025,"SEC","Texas A&M",4,0,66.2185,116.281,92.2075,22.555,115.676,93.121,32,22,10,68.75,47.5,48.2,41.7,35.3,18.2,19.7,42,72.2,27.8,58,67.5,48,46.5,31.1,33.4,13.9,14.8,47.7,64.8,62.4,37.6,53,47,66.083,77.361,79.763,2.764,69.423,69.5,76.8,1.093,0.999
2025,"B12","Texas Tech",3,0,65.4879,125.335,97.2799,29.31,126.01,96.7,33,25,8,75.75758,55.5,48,29.7,33.5,14.8,17.4,34.3,71.5,28.5,65.7,66.4,54.3,48.2,37.9,31.7,8.1,8,58.5,45,55.4,44.6,65.9,34.1,65.554,76.407,79.854,1.972,36.947,76.4,69.5,1.2,1.002
